time[s],u[ft/s],v[ft/s],w[ft/s],p[rad/s],q[rad/s],r[rad/s],xf[ft],yf[ft],zf[ft],e0,ex,ey,ez
  6.600000000000e-01,  2.170292537653e+01,  0.000000000000e+00,  1.500729816754e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  2.142526565140e+01,  0.000000000000e+00, -1.945638034917e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  6.700000000000e-01,  2.148892581898e+01,  0.000000000000e+00,  1.517946656436e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  2.164122264614e+01,  0.000000000000e+00, -1.944128685916e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  6.800000000000e-01,  2.127760492464e+01,  0.000000000000e+00,  1.535034315732e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  2.185505309624e+01,  0.000000000000e+00, -1.942602184664e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  6.900000000000e-01,  2.106889487707e+01,  0.000000000000e+00,  1.551992769496e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  2.206678344706e+01,  0.000000000000e+00, -1.941058660352e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  7.000000000000e-01,  2.086273043886e+01,  0.000000000000e+00,  1.568821970877e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  2.227643947876e+01,  0.000000000000e+00, -1.939498242209e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  7.100000000000e-01,  2.065904885117e+01,  0.000000000000e+00,  1.585521854127e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  2.248404633163e+01,  0.000000000000e+00, -1.937921059516e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  7.200000000000e-01,  2.045778973754e+01,  0.000000000000e+00,  1.602092337297e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  2.268962853035e+01,  0.000000000000e+00, -1.936327241633e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  7.300000000000e-01,  2.025889501154e+01,  0.000000000000e+00,  1.618533324808e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  2.289321000734e+01,  0.000000000000e+00, -1.934716918007e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  7.400000000000e-01,  2.006230878827e+01,  0.000000000000e+00,  1.634844709928e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  2.309481412526e+01,  0.000000000000e+00, -1.933090218184e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  7.500000000000e-01,  1.986797729925e+01,  0.000000000000e+00,  1.651026377130e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  2.329446369857e+01,  0.000000000000e+00, -1.931447271826e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  7.600000000000e-01,  1.967584881084e+01,  0.000000000000e+00,  1.667078204343e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  2.349218101428e+01,  0.000000000000e+00, -1.929788208710e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  7.700000000000e-01,  1.948587354573e+01,  0.000000000000e+00,  1.683000065112e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  2.368798785191e+01,  0.000000000000e+00, -1.928113158739e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  7.800000000000e-01,  1.929800360753e+01,  0.000000000000e+00,  1.698791830639e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  2.388190550268e+01,  0.000000000000e+00, -1.926422251945e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  7.900000000000e-01,  1.911219290819e+01,  0.000000000000e+00,  1.714453371740e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  2.407395478793e+01,  0.000000000000e+00, -1.924715618486e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  8.000000000000e-01,  1.892839709826e+01,  0.000000000000e+00,  1.729984560691e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  2.426415607689e+01,  0.000000000000e+00, -1.922993388652e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  8.100000000000e-01,  1.874657349972e+01,  0.000000000000e+00,  1.745385272990e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  2.445252930369e+01,  0.000000000000e+00, -1.921255692857e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  8.200000000000e-01,  1.856668104131e+01,  0.000000000000e+00,  1.760655389016e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  2.463909398378e+01,  0.000000000000e+00, -1.919502661638e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  8.300000000000e-01,  1.838868019627e+01,  0.000000000000e+00,  1.775794795601e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  2.482386922967e+01,  0.000000000000e+00, -1.917734425648e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  8.400000000000e-01,  1.821253292238e+01,  0.000000000000e+00,  1.790803387512e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  2.500687376607e+01,  0.000000000000e+00, -1.915951115651e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  8.500000000000e-01,  1.803820260422e+01,  0.000000000000e+00,  1.805681068845e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  2.518812594443e+01,  0.000000000000e+00, -1.914152862510e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  8.600000000000e-01,  1.786565399744e+01,  0.000000000000e+00,  1.820427754329e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  2.536764375699e+01,  0.000000000000e+00, -1.912339797179e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  8.700000000000e-01,  1.769485317511e+01,  0.000000000000e+00,  1.835043370551e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  2.554544485014e+01,  0.000000000000e+00, -1.910512050691e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
